"","ICFR","AUC_ICBR","p_val"
"9","B.cells.memory.minus.T.cells.regulatory..Tregs.2B.cells.memory",0.716283716283716,"0.00384605940897106"
"11","B.cells.memory.minus.T.cells.regulatory..Tregs.2B.cells.memory.plus.T.cells.regulatory..Tregs.",0.716283716283716,"0.00384605940897106"
"12","B.cells.memory.minus.T.cells.regulatory..Tregs.2T.cells.follicular.helper",0.705294705294705,"0.00571026876404909"
"10","B.cells.memory.minus.T.cells.regulatory..Tregs.2B.cells.memory.plus.T.cells.follicular.helper",0.704295704295704,"0.00591422191239375"
"13","B.cells.memory.minus.T.cells.regulatory..Tregs.2T.cells.follicular.helper.plus.T.cells.regulatory..Tregs.",0.704295704295704,"0.00591422191239375"
"29","T.cells.follicular.helper.minus.T.cells.regulatory..Tregs.2T.cells.follicular.helper",0.677322677322677,"0.0246943118360229"
"30","T.cells.follicular.helper.minus.T.cells.regulatory..Tregs.2T.cells.follicular.helper.plus.T.cells.regulatory..Tregs.",0.677322677322677,"0.0246943118360229"
"21","B.cells.memory.plus.T.cells.follicular.helper2T.cells.follicular.helper.plus.T.cells.regulatory..Tregs.",0.669330669330669,"0.0217888768003908"
"15","B.cells.memory2B.cells.memory.plus.T.cells.regulatory..Tregs.",0.645354645354645,"0.00346854269571753"
"34","T.cells.follicular.helper2T.cells.follicular.helper.plus.T.cells.regulatory..Tregs.",0.638861138861139,"0.0400707975711105"
"1","B.cells.memory",0.632367632367632,"0.00698966661397984"
"20","B.cells.memory.plus.T.cells.follicular.helper2T.cells.follicular.helper",0.63036963036963,"0.0602823781593213"
"17","B.cells.memory2T.cells.follicular.helper.plus.T.cells.regulatory..Tregs.",0.629370629370629,"0.00815430181064842"
"2","T.cells.follicular.helper",0.626873126873127,"0.0549934266004035"
"14","B.cells.memory2B.cells.memory.plus.T.cells.follicular.helper",0.62037962037962,"0.0127297572201604"
"16","B.cells.memory2T.cells.follicular.helper",0.62037962037962,"0.0127297572201604"
"27","T.cells.follicular.helper.minus.T.cells.regulatory..Tregs.2B.cells.memory.plus.T.cells.follicular.helper",0.614385614385614,"0.102803845809471"
"28","T.cells.follicular.helper.minus.T.cells.regulatory..Tregs.2B.cells.memory.plus.T.cells.regulatory..Tregs.",0.614385614385614,"0.102803845809471"
"19","B.cells.memory.plus.T.cells.follicular.helper2B.cells.memory.plus.T.cells.regulatory..Tregs.",0.597402597402597,"0.123363716091373"
"26","T.cells.follicular.helper.minus.T.cells.regulatory..Tregs.2B.cells.memory",0.594405594405594,"0.148317455878067"
"33","T.cells.follicular.helper2B.cells.memory.plus.T.cells.regulatory..Tregs.",0.57992007992008,"0.157584445672554"
"18","B.cells.memory.plus.T.cells.follicular.helper2B.cells.memory",0.568431568431568,"0.208387632013322"
"31","T.cells.follicular.helper2B.cells.memory",0.555944055944056,"0.241586147855133"
"32","T.cells.follicular.helper2B.cells.memory.plus.T.cells.follicular.helper",0.555944055944056,"0.241586147855133"
"37","T.cells.follicular.helper.plus.T.cells.regulatory..Tregs.2B.cells.memory.plus.T.cells.regulatory..Tregs.",0.545454545454545,"0.308666918001802"
"25","B.cells.memory.plus.T.cells.regulatory..Tregs.2T.cells.follicular.helper.plus.T.cells.regulatory..Tregs.",0.510489510489511,"0.450897866323869"
"24","B.cells.memory.plus.T.cells.regulatory..Tregs.2T.cells.follicular.helper",0.488511488511489,"0.558856968886406"
"23","B.cells.memory.plus.T.cells.regulatory..Tregs.2B.cells.memory.plus.T.cells.follicular.helper",0.487512487512488,"0.5637214062246"
"22","B.cells.memory.plus.T.cells.regulatory..Tregs.2B.cells.memory",0.483516483516484,"0.583075804326272"
"4","B.cells.memory.minus.T.cells.follicular.helper2B.cells.memory",0.452547452547453,"0.716744208811494"
"5","B.cells.memory.minus.T.cells.follicular.helper2B.cells.memory.plus.T.cells.follicular.helper",0.452547452547453,"0.716744208811494"
"7","B.cells.memory.minus.T.cells.follicular.helper2T.cells.follicular.helper",0.452547452547453,"0.716744208811494"
"38","T.cells.follicular.helper.plus.T.cells.regulatory..Tregs.2T.cells.follicular.helper",0.444555444555445,"0.73295178091085"
"6","B.cells.memory.minus.T.cells.follicular.helper2B.cells.memory.plus.T.cells.regulatory..Tregs.",0.434565434565435,"0.784694149371184"
"8","B.cells.memory.minus.T.cells.follicular.helper2T.cells.follicular.helper.plus.T.cells.regulatory..Tregs.",0.434565434565435,"0.784694149371184"
"35","T.cells.follicular.helper.plus.T.cells.regulatory..Tregs.2B.cells.memory",0.433566433566434,"0.771530710053245"
"36","T.cells.follicular.helper.plus.T.cells.regulatory..Tregs.2B.cells.memory.plus.T.cells.follicular.helper",0.406593406593407,"0.851682544121933"
"3","T.cells.regulatory..Tregs.",0.371628371628372,"0.954642934354138"
